schoolid,suburb,schoolname,region,address,longitude,latitude
562,HAWTHORN EAST,Auburn High School,,"26 Burgess Street, East Hawthorn, VIC 3123",145.0437,-37.8396
563,KILMORE,Assumption College,,"Sutherland St, Kilmore VIC 3764",144.9478,-37.3035
564,ASHWOOD,Ashwood Secondary College,,"50 Vannam Dr, Ashwood VIC 3147",145.1032,-37.865
565,ARARAT,Ararat Secondary College,,"4-30 Barkly St, Ararat VIC 3377",142.922,-37.2856
566,RINGWOOD,Aquinas College,,"58 Mount Henry Rd, Salter Point WA 6152",115.8655,-32.024
567,APOLLO BAY,Apollo Bay P-12 College,,"Pengilley Ave, Apollo Bay VIC 3233",143.6624,38.7541
568,PASCOE VALE SOUTH,Antonine College,,"Harding St, Coburg VIC 3058",144.9734,-37.7458
569,TRUGANINA,Al-Taqwa College,SOUTH WEST,"201 Sayers Rd, Truganina VIC 3029",144.7222,-37.8523
570,ALPHINGTON,Alphington Grammar School,,"18 Old Heidelberg Road, Alphington VIC 3078",145.0365,-37.7802
571,CRANBOURNE NORTH,Alkira Secondary College,,"15 Nurture Ave, Cranbourne North VIC 3977",145.3105,-38.0737
572,HAWTHORN EAST,Alia College,,"405 Tooronga Rd, Hawthorn East VIC 3123",145.0449,-37.8433
573,ALEXANDRA,Alexandra Secondary College,,"Downey St, Alexandra VIC 3714",145.7097,-37.1916
574,ALBERT PARK,Albert Park College,,"83 Danks St, Albert Park VIC 3206",144.9482,-37.8453
575,EPPING,Al Siraat College,,"45 Harvest Home Rd, Epping VIC 3076",145.0367,-37.6241
576,GREENVALE,Aitken College,,"1010 Mickleham Road, Greenvale VIC 3059",144.8831,-37.6264
577,FITZROY,Academy of Mary Immaculate,,"88 Nicholson St, Fitzroy VIC 3065",144.974,-37.8036
